,location,truth_date,year_week,value,data_source
5649,LV,2018/12/2,2018-W48,1.9,ERVISS
5648,LV,2018/12/9,2018-W49,10.4,ERVISS
5647,LV,2018/12/16,2018-W50,21.5,ERVISS
5646,LV,2018/12/23,2018-W51,12.4,ERVISS
5645,LV,2018/12/30,2018-W52,17.6,ERVISS
5644,LV,2019/1/6,2019-W01,38.5,ERVISS
5643,LV,2019/1/13,2019-W02,52.8,ERVISS
5642,LV,2019/1/20,2019-W03,169.1,ERVISS
5641,LV,2019/1/27,2019-W04,298.4,ERVISS
5640,LV,2019/2/3,2019-W05,362.1,ERVISS
5639,LV,2019/2/10,2019-W06,363.0,ERVISS
5638,LV,2019/2/17,2019-W07,269.4,ERVISS
5637,LV,2019/2/24,2019-W08,217.4,ERVISS
5636,LV,2019/3/3,2019-W09,128.8,ERVISS
5635,LV,2019/3/10,2019-W10,114.4,ERVISS
5634,LV,2019/3/17,2019-W11,70.7,ERVISS
5633,LV,2019/3/24,2019-W12,43.7,ERVISS
5632,LV,2019/3/31,2019-W13,23.2,ERVISS
5631,LV,2019/4/7,2019-W14,14.6,ERVISS
5489,LV,2023/10/8,2023-W40,6.6,ERVISS
5488,LV,2023/10/15,2023-W41,11.3,ERVISS
5487,LV,2023/10/22,2023-W42,8.6,ERVISS
5486,LV,2023/10/29,2023-W43,11.3,ERVISS
5485,LV,2023/11/5,2023-W44,15.3,ERVISS
5484,LV,2023/11/12,2023-W45,23.5,ERVISS
5483,LV,2023/11/19,2023-W46,26.4,ERVISS
5482,LV,2023/11/26,2023-W47,23.6,ERVISS
5481,LV,2023/12/3,2023-W48,18.4,ERVISS
5480,LV,2023/12/10,2023-W49,21.2,ERVISS
5479,LV,2023/12/17,2023-W50,43.0,ERVISS
5478,LV,2023/12/24,2023-W51,47.1,ERVISS
5477,LV,2023/12/31,2023-W52,62.2,ERVISS
5476,LV,2024/1/7,2024-W01,77.6,ERVISS
5475,LV,2024/1/14,2024-W02,153.9,ERVISS
5474,LV,2024/1/21,2024-W03,256.5,ERVISS
5473,LV,2024/1/28,2024-W04,442.3,ERVISS
5472,LV,2024/2/4,2024-W05,479.7,ERVISS
5471,LV,2024/2/11,2024-W06,519.9,ERVISS
5470,LV,2024/2/18,2024-W07,530.7,ERVISS
5469,LV,2024/2/25,2024-W08,467.2,ERVISS
5468,LV,2024/3/3,2024-W09,442.0,ERVISS
5467,LV,2024/3/10,2024-W10,330.0,ERVISS
5466,LV,2024/3/17,2024-W11,253.8,ERVISS
5465,LV,2024/3/31,2024-W13,144.5,ERVISS
5464,LV,2024/4/7,2024-W14,110.3,ERVISS
6967,MT,2017/10/8,2017-W40,3700.0,ERVISS
6966,MT,2017/10/15,2017-W41,8400.0,ERVISS
6965,MT,2017/10/22,2017-W42,9700.0,ERVISS
6964,MT,2017/10/29,2017-W43,7600.0,ERVISS
6963,MT,2017/11/5,2017-W44,4300.0,ERVISS
6962,MT,2017/11/12,2017-W45,2600.0,ERVISS
6961,MT,2017/11/19,2017-W46,8100.0,ERVISS
6960,MT,2017/11/26,2017-W47,3400.0,ERVISS
6959,MT,2017/12/3,2017-W48,6100.0,ERVISS
6958,MT,2017/12/10,2017-W49,8800.0,ERVISS
6957,MT,2017/12/17,2017-W50,9600.0,ERVISS
6956,MT,2017/12/24,2017-W51,9200.0,ERVISS
6955,MT,2017/12/31,2017-W52,16100.0,ERVISS
6954,MT,2018/1/7,2018-W01,18300.0,ERVISS
6953,MT,2018/1/14,2018-W02,17800.0,ERVISS
6952,MT,2018/1/21,2018-W03,13900.0,ERVISS
6951,MT,2018/1/28,2018-W04,11700.0,ERVISS
6950,MT,2018/2/4,2018-W05,10900.0,ERVISS
6949,MT,2018/2/11,2018-W06,11100.0,ERVISS
6948,MT,2018/2/18,2018-W07,10800.0,ERVISS
6947,MT,2018/2/25,2018-W08,9000.0,ERVISS
6946,MT,2018/3/4,2018-W09,11600.0,ERVISS
6945,MT,2018/3/11,2018-W10,10900.0,ERVISS
6944,MT,2018/3/18,2018-W11,8300.0,ERVISS
6943,MT,2018/3/25,2018-W12,6900.0,ERVISS
6942,MT,2018/4/1,2018-W13,7400.0,ERVISS
6941,MT,2018/4/8,2018-W14,2500.0,ERVISS
6934,MT,2018/10/7,2018-W40,1800.0,ERVISS
6933,MT,2018/10/14,2018-W41,3400.0,ERVISS
6932,MT,2018/10/21,2018-W42,4200.0,ERVISS
6931,MT,2018/10/28,2018-W43,12600.0,ERVISS
6930,MT,2018/11/4,2018-W44,10100.0,ERVISS
6929,MT,2018/11/11,2018-W45,5300.0,ERVISS
6928,MT,2018/11/18,2018-W46,6500.0,ERVISS
6927,MT,2018/11/25,2018-W47,6600.0,ERVISS
6926,MT,2018/12/2,2018-W48,10600.0,ERVISS
6925,MT,2018/12/9,2018-W49,10300.0,ERVISS
6924,MT,2018/12/16,2018-W50,9000.0,ERVISS
6923,MT,2018/12/23,2018-W51,9100.0,ERVISS
6922,MT,2018/12/30,2018-W52,10400.0,ERVISS
6921,MT,2019/1/6,2019-W01,15200.0,ERVISS
6920,MT,2019/1/13,2019-W02,15900.0,ERVISS
6919,MT,2019/1/20,2019-W03,13300.0,ERVISS
6918,MT,2019/1/27,2019-W04,15500.0,ERVISS
6917,MT,2019/2/3,2019-W05,14400.0,ERVISS
6916,MT,2019/2/10,2019-W06,13900.0,ERVISS
6915,MT,2019/2/17,2019-W07,13400.0,ERVISS
6914,MT,2019/2/24,2019-W08,12200.0,ERVISS
6913,MT,2019/3/3,2019-W09,9800.0,ERVISS
6912,MT,2019/3/10,2019-W10,8700.0,ERVISS
6911,MT,2019/3/17,2019-W11,8100.0,ERVISS
6910,MT,2019/3/24,2019-W12,6300.0,ERVISS
6909,MT,2019/3/31,2019-W13,5800.0,ERVISS
6908,MT,2019/4/7,2019-W14,4000.0,ERVISS
6735,MT,2023/10/8,2023-W40,4100.0,ERVISS
6734,MT,2023/10/15,2023-W41,5300.0,ERVISS
6733,MT,2023/10/22,2023-W42,5900.0,ERVISS
6732,MT,2023/10/29,2023-W43,5100.0,ERVISS
6731,MT,2023/11/5,2023-W44,5300.0,ERVISS
6730,MT,2023/11/12,2023-W45,8900.0,ERVISS
6729,MT,2023/11/19,2023-W46,9500.0,ERVISS
6728,MT,2023/11/26,2023-W47,9200.0,ERVISS
6727,MT,2023/12/3,2023-W48,9300.0,ERVISS
6726,MT,2023/12/10,2023-W49,8300.0,ERVISS
6725,MT,2023/12/17,2023-W50,9000.0,ERVISS
6724,MT,2023/12/24,2023-W51,7000.0,ERVISS
6723,MT,2023/12/31,2023-W52,11100.0,ERVISS
6722,MT,2024/1/7,2024-W01,10500.0,ERVISS
6721,MT,2024/1/14,2024-W02,8700.0,ERVISS
6720,MT,2024/1/21,2024-W03,10600.0,ERVISS
6719,MT,2024/1/28,2024-W04,10000.0,ERVISS
6718,MT,2024/2/4,2024-W05,7900.0,ERVISS
6717,MT,2024/2/11,2024-W06,9900.0,ERVISS
6716,MT,2024/2/18,2024-W07,8900.0,ERVISS
6715,MT,2024/2/25,2024-W08,8400.0,ERVISS
6714,MT,2024/3/3,2024-W09,7300.0,ERVISS
6713,MT,2024/3/10,2024-W10,9700.0,ERVISS
6712,MT,2024/3/17,2024-W11,7200.0,ERVISS
6711,MT,2024/3/24,2024-W12,5000.0,ERVISS
6710,MT,2024/3/31,2024-W13,4900.0,ERVISS
6709,MT,2024/4/7,2024-W14,1900.0,ERVISS
7429,NL,2017/10/8,2017-W40,33.0,ERVISS
7428,NL,2017/10/15,2017-W41,37.5,ERVISS
7427,NL,2017/10/22,2017-W42,33.4,ERVISS
7426,NL,2017/10/29,2017-W43,23.4,ERVISS
7425,NL,2017/11/5,2017-W44,24.2,ERVISS
7424,NL,2017/11/12,2017-W45,42.1,ERVISS
7423,NL,2017/11/19,2017-W46,32.9,ERVISS
7422,NL,2017/11/26,2017-W47,30.9,ERVISS
7421,NL,2017/12/3,2017-W48,37.9,ERVISS
7420,NL,2017/12/10,2017-W49,36.4,ERVISS
7419,NL,2017/12/17,2017-W50,52.0,ERVISS
7418,NL,2017/12/24,2017-W51,83.9,ERVISS
7417,NL,2017/12/31,2017-W52,54.1,ERVISS
7416,NL,2018/1/7,2018-W01,83.0,ERVISS
7415,NL,2018/1/14,2018-W02,98.3,ERVISS
7414,NL,2018/1/21,2018-W03,110.2,ERVISS
7413,NL,2018/1/28,2018-W04,166.0,ERVISS
7412,NL,2018/2/4,2018-W05,161.6,ERVISS
7411,NL,2018/2/11,2018-W06,156.4,ERVISS
7410,NL,2018/2/18,2018-W07,145.2,ERVISS
7409,NL,2018/2/25,2018-W08,162.9,ERVISS
7408,NL,2018/3/4,2018-W09,166.0,ERVISS
7407,NL,2018/3/11,2018-W10,169.7,ERVISS
7406,NL,2018/3/18,2018-W11,116.2,ERVISS
7405,NL,2018/3/25,2018-W12,85.2,ERVISS
7404,NL,2018/4/1,2018-W13,69.8,ERVISS
7403,NL,2018/4/8,2018-W14,50.5,ERVISS
7377,NL,2018/10/7,2018-W40,25.7,ERVISS
7376,NL,2018/10/14,2018-W41,47.6,ERVISS
7375,NL,2018/10/21,2018-W42,41.2,ERVISS
7374,NL,2018/10/28,2018-W43,19.0,ERVISS
7373,NL,2018/11/4,2018-W44,38.6,ERVISS
7372,NL,2018/11/11,2018-W45,45.5,ERVISS
7371,NL,2018/11/18,2018-W46,32.4,ERVISS
7370,NL,2018/11/25,2018-W47,50.4,ERVISS
7369,NL,2018/12/2,2018-W48,53.6,ERVISS
7368,NL,2018/12/9,2018-W49,47.4,ERVISS
7367,NL,2018/12/16,2018-W50,62.8,ERVISS
7366,NL,2018/12/23,2018-W51,69.5,ERVISS
7365,NL,2018/12/30,2018-W52,37.4,ERVISS
7364,NL,2019/1/6,2019-W01,51.0,ERVISS
7363,NL,2019/1/13,2019-W02,78.7,ERVISS
7362,NL,2019/1/20,2019-W03,74.7,ERVISS
7361,NL,2019/1/27,2019-W04,67.1,ERVISS
7360,NL,2019/2/3,2019-W05,59.4,ERVISS
7359,NL,2019/2/10,2019-W06,107.5,ERVISS
7358,NL,2019/2/17,2019-W07,90.7,ERVISS
7357,NL,2019/2/24,2019-W08,76.3,ERVISS
7356,NL,2019/3/3,2019-W09,54.3,ERVISS
7355,NL,2019/3/10,2019-W10,61.2,ERVISS
7354,NL,2019/3/17,2019-W11,57.2,ERVISS
7353,NL,2019/3/24,2019-W12,36.6,ERVISS
7352,NL,2019/3/31,2019-W13,33.7,ERVISS
7351,NL,2019/4/7,2019-W14,35.1,ERVISS
7116,NL,2023/10/8,2023-W40,19.7,ERVISS
7115,NL,2023/10/15,2023-W41,21.3,ERVISS
7114,NL,2023/10/22,2023-W42,27.9,ERVISS
7113,NL,2023/10/29,2023-W43,19.7,ERVISS
7112,NL,2023/11/5,2023-W44,35.3,ERVISS
7111,NL,2023/11/12,2023-W45,33.4,ERVISS
7110,NL,2023/11/19,2023-W46,44.1,ERVISS
7109,NL,2023/11/26,2023-W47,45.9,ERVISS
7108,NL,2023/12/3,2023-W48,37.9,ERVISS
7107,NL,2023/12/10,2023-W49,49.1,ERVISS
7106,NL,2023/12/17,2023-W50,60.3,ERVISS
7105,NL,2023/12/24,2023-W51,49.5,ERVISS
7104,NL,2023/12/31,2023-W52,27.5,ERVISS
7103,NL,2024/1/7,2024-W01,42.7,ERVISS
7102,NL,2024/1/14,2024-W02,54.5,ERVISS
7101,NL,2024/1/21,2024-W03,66.9,ERVISS
7100,NL,2024/1/28,2024-W04,73.7,ERVISS
7099,NL,2024/2/4,2024-W05,73.7,ERVISS
7098,NL,2024/2/11,2024-W06,68.6,ERVISS
7097,NL,2024/2/18,2024-W07,55.1,ERVISS
7096,NL,2024/2/25,2024-W08,48.8,ERVISS
7095,NL,2024/3/3,2024-W09,41.4,ERVISS
7094,NL,2024/3/10,2024-W10,39.7,ERVISS
7093,NL,2024/3/17,2024-W11,26.8,ERVISS
7092,NL,2024/3/24,2024-W12,23.3,ERVISS
7091,NL,2024/3/31,2024-W13,21.9,ERVISS
7090,NL,2024/4/7,2024-W14,16.6,ERVISS
7869,NO,2017/10/8,2017-W40,22.3,ERVISS
7868,NO,2017/10/15,2017-W41,23.8,ERVISS
7867,NO,2017/10/22,2017-W42,26.0,ERVISS
7866,NO,2017/10/29,2017-W43,28.5,ERVISS
7865,NO,2017/11/5,2017-W44,29.3,ERVISS
7864,NO,2017/11/12,2017-W45,33.8,ERVISS
7863,NO,2017/11/19,2017-W46,34.7,ERVISS
7862,NO,2017/11/26,2017-W47,38.4,ERVISS
7861,NO,2017/12/3,2017-W48,41.6,ERVISS
7860,NO,2017/12/10,2017-W49,49.4,ERVISS
7859,NO,2017/12/17,2017-W50,60.0,ERVISS
7858,NO,2017/12/24,2017-W51,80.0,ERVISS
7857,NO,2017/12/31,2017-W52,68.4,ERVISS
7856,NO,2018/1/7,2018-W01,169.3,ERVISS
7855,NO,2018/1/14,2018-W02,195.2,ERVISS
7854,NO,2018/1/21,2018-W03,197.3,ERVISS
7853,NO,2018/1/28,2018-W04,231.3,ERVISS
7852,NO,2018/2/4,2018-W05,264.3,ERVISS
7851,NO,2018/2/11,2018-W06,285.1,ERVISS
7850,NO,2018/2/18,2018-W07,292.4,ERVISS
7849,NO,2018/2/25,2018-W08,250.8,ERVISS
7848,NO,2018/3/4,2018-W09,226.5,ERVISS
7847,NO,2018/3/11,2018-W10,206.3,ERVISS
7846,NO,2018/3/18,2018-W11,165.6,ERVISS
7845,NO,2018/3/25,2018-W12,145.0,ERVISS
7844,NO,2018/4/1,2018-W13,52.8,ERVISS
7843,NO,2018/4/8,2018-W14,73.9,ERVISS
7836,NO,2018/10/7,2018-W40,17.9,ERVISS
7835,NO,2018/10/14,2018-W41,20.2,ERVISS
7834,NO,2018/10/21,2018-W42,21.2,ERVISS
7833,NO,2018/10/28,2018-W43,21.5,ERVISS
7832,NO,2018/11/4,2018-W44,24.5,ERVISS
7831,NO,2018/11/11,2018-W45,25.8,ERVISS
7830,NO,2018/11/18,2018-W46,26.9,ERVISS
7829,NO,2018/11/25,2018-W47,29.9,ERVISS
7828,NO,2018/12/2,2018-W48,36.0,ERVISS
7827,NO,2018/12/9,2018-W49,37.7,ERVISS
7826,NO,2018/12/16,2018-W50,41.0,ERVISS
7825,NO,2018/12/23,2018-W51,46.9,ERVISS
7824,NO,2018/12/30,2018-W52,27.0,ERVISS
7823,NO,2019/1/6,2019-W01,51.2,ERVISS
7822,NO,2019/1/13,2019-W02,90.1,ERVISS
7821,NO,2019/1/20,2019-W03,92.0,ERVISS
7820,NO,2019/1/27,2019-W04,109.4,ERVISS
7819,NO,2019/2/3,2019-W05,133.1,ERVISS
7818,NO,2019/2/10,2019-W06,167.3,ERVISS
7817,NO,2019/2/17,2019-W07,180.4,ERVISS
7816,NO,2019/2/24,2019-W08,155.0,ERVISS
7815,NO,2019/3/3,2019-W09,130.2,ERVISS
7814,NO,2019/3/10,2019-W10,109.3,ERVISS
7813,NO,2019/3/17,2019-W11,89.4,ERVISS
7812,NO,2019/3/24,2019-W12,68.1,ERVISS
7811,NO,2019/3/31,2019-W13,57.5,ERVISS
7810,NO,2019/4/7,2019-W14,46.7,ERVISS
7638,NO,2023/10/8,2023-W40,19.3,ERVISS
7637,NO,2023/10/15,2023-W41,22.3,ERVISS
7636,NO,2023/10/22,2023-W42,26.1,ERVISS
7635,NO,2023/10/29,2023-W43,27.7,ERVISS
7634,NO,2023/11/5,2023-W44,31.2,ERVISS
7633,NO,2023/11/12,2023-W45,36.3,ERVISS
7632,NO,2023/11/19,2023-W46,37.7,ERVISS
7631,NO,2023/11/26,2023-W47,44.3,ERVISS
7630,NO,2023/12/3,2023-W48,49.1,ERVISS
7629,NO,2023/12/10,2023-W49,56.5,ERVISS
7628,NO,2023/12/17,2023-W50,64.8,ERVISS
7627,NO,2023/12/24,2023-W51,63.3,ERVISS
7626,NO,2023/12/31,2023-W52,32.9,ERVISS
7625,NO,2024/1/7,2024-W01,67.0,ERVISS
7624,NO,2024/1/14,2024-W02,65.2,ERVISS
7623,NO,2024/1/21,2024-W03,60.7,ERVISS
7622,NO,2024/1/28,2024-W04,62.4,ERVISS
7621,NO,2024/2/4,2024-W05,57.8,ERVISS
7620,NO,2024/2/11,2024-W06,55.9,ERVISS
7619,NO,2024/2/18,2024-W07,55.5,ERVISS
7618,NO,2024/2/25,2024-W08,54.6,ERVISS
7617,NO,2024/3/3,2024-W09,50.9,ERVISS
7616,NO,2024/3/10,2024-W10,40.9,ERVISS
7615,NO,2024/3/17,2024-W11,36.3,ERVISS
7614,NO,2024/3/24,2024-W12,36.4,ERVISS
7613,NO,2024/3/31,2024-W13,12.1,ERVISS
7612,NO,2024/4/7,2024-W14,23.1,ERVISS
8332,PL,2017/10/8,2017-W40,354.8,ERVISS
8331,PL,2017/10/15,2017-W41,341.2,ERVISS
8330,PL,2017/10/22,2017-W42,318.0,ERVISS
8329,PL,2017/10/29,2017-W43,304.8,ERVISS
8328,PL,2017/11/5,2017-W44,250.5,ERVISS
8327,PL,2017/11/12,2017-W45,324.1,ERVISS
8326,PL,2017/11/19,2017-W46,349.9,ERVISS
8325,PL,2017/11/26,2017-W47,341.6,ERVISS
8324,PL,2017/12/3,2017-W48,412.7,ERVISS
8323,PL,2017/12/10,2017-W49,415.2,ERVISS
8322,PL,2017/12/17,2017-W50,356.8,ERVISS
8321,PL,2017/12/24,2017-W51,433.5,ERVISS
8320,PL,2017/12/31,2017-W52,268.7,ERVISS
8319,PL,2018/1/7,2018-W01,273.5,ERVISS
8318,PL,2018/1/14,2018-W02,334.7,ERVISS
8317,PL,2018/1/21,2018-W03,513.4,ERVISS
8316,PL,2018/1/28,2018-W04,606.4,ERVISS
8315,PL,2018/2/4,2018-W05,796.0,ERVISS
8314,PL,2018/2/11,2018-W06,766.0,ERVISS
8313,PL,2018/2/18,2018-W07,815.1,ERVISS
8312,PL,2018/2/25,2018-W08,706.9,ERVISS
8311,PL,2018/3/4,2018-W09,698.4,ERVISS
8310,PL,2018/3/11,2018-W10,637.0,ERVISS
8309,PL,2018/3/18,2018-W11,564.5,ERVISS
8308,PL,2018/3/25,2018-W12,461.2,ERVISS
8307,PL,2018/4/1,2018-W13,385.8,ERVISS
8306,PL,2018/4/8,2018-W14,395.7,ERVISS
8280,PL,2018/10/7,2018-W40,306.3,ERVISS
8279,PL,2018/10/14,2018-W41,288.7,ERVISS
8278,PL,2018/10/21,2018-W42,323.9,ERVISS
8277,PL,2018/10/28,2018-W43,345.4,ERVISS
8276,PL,2018/11/4,2018-W44,252.9,ERVISS
8275,PL,2018/11/11,2018-W45,263.1,ERVISS
8274,PL,2018/11/18,2018-W46,281.8,ERVISS
8273,PL,2018/11/25,2018-W47,371.9,ERVISS
8272,PL,2018/12/2,2018-W48,414.6,ERVISS
8271,PL,2018/12/9,2018-W49,441.2,ERVISS
8270,PL,2018/12/16,2018-W50,469.4,ERVISS
8269,PL,2018/12/23,2018-W51,395.2,ERVISS
8268,PL,2018/12/30,2018-W52,319.1,ERVISS
8267,PL,2019/1/6,2019-W01,312.7,ERVISS
8266,PL,2019/1/13,2019-W02,334.7,ERVISS
8265,PL,2019/1/20,2019-W03,351.7,ERVISS
8264,PL,2019/1/27,2019-W04,388.1,ERVISS
8263,PL,2019/2/3,2019-W05,416.4,ERVISS
8262,PL,2019/2/10,2019-W06,534.2,ERVISS
8261,PL,2019/2/17,2019-W07,510.2,ERVISS
8260,PL,2019/2/24,2019-W08,498.4,ERVISS
8259,PL,2019/3/3,2019-W09,456.3,ERVISS
8258,PL,2019/3/10,2019-W10,344.4,ERVISS
8257,PL,2019/3/17,2019-W11,415.9,ERVISS
8256,PL,2019/3/24,2019-W12,398.2,ERVISS
8255,PL,2019/3/31,2019-W13,323.2,ERVISS
8254,PL,2019/4/7,2019-W14,252.9,ERVISS
8021,PL,2023/10/8,2023-W40,219.8,ERVISS
8020,PL,2023/10/15,2023-W41,274.9,ERVISS
8019,PL,2023/10/22,2023-W42,316.9,ERVISS
8018,PL,2023/10/29,2023-W43,332.3,ERVISS
8017,PL,2023/11/5,2023-W44,301.9,ERVISS
8016,PL,2023/11/12,2023-W45,339.8,ERVISS
8015,PL,2023/11/19,2023-W46,355.3,ERVISS
8014,PL,2023/11/26,2023-W47,385.7,ERVISS
8013,PL,2023/12/3,2023-W48,786.6,ERVISS
8012,PL,2023/12/10,2023-W49,491.5,ERVISS
8011,PL,2023/12/17,2023-W50,504.7,ERVISS
8010,PL,2023/12/24,2023-W51,344.5,ERVISS
8009,PL,2023/12/31,2023-W52,323.5,ERVISS
8008,PL,2024/1/7,2024-W01,383.4,ERVISS
8007,PL,2024/1/14,2024-W02,445.8,ERVISS
8006,PL,2024/1/21,2024-W03,456.6,ERVISS
8005,PL,2024/1/28,2024-W04,474.8,ERVISS
8004,PL,2024/2/4,2024-W05,512.0,ERVISS
8003,PL,2024/2/11,2024-W06,498.1,ERVISS
8002,PL,2024/2/18,2024-W07,389.1,ERVISS
8001,PL,2024/2/25,2024-W08,347.7,ERVISS
8000,PL,2024/3/3,2024-W09,318.2,ERVISS
7999,PL,2024/3/10,2024-W10,322.9,ERVISS
7998,PL,2024/3/17,2024-W11,328.7,ERVISS
7997,PL,2024/3/24,2024-W12,322.6,ERVISS
7996,PL,2024/3/31,2024-W13,322.0,ERVISS
7995,PL,2024/4/7,2024-W14,239.1,ERVISS
8765,PT,2017/10/8,2017-W40,4.6,ERVISS
8764,PT,2017/10/15,2017-W41,0.0,ERVISS
8763,PT,2017/10/22,2017-W42,7.7,ERVISS
8762,PT,2017/10/29,2017-W43,6.2,ERVISS
8761,PT,2017/11/5,2017-W44,7.3,ERVISS
8760,PT,2017/11/12,2017-W45,6.4,ERVISS
8759,PT,2017/11/19,2017-W46,9.8,ERVISS
8758,PT,2017/11/26,2017-W47,11.7,ERVISS
8757,PT,2017/12/3,2017-W48,14.6,ERVISS
8756,PT,2017/12/10,2017-W49,3.6,ERVISS
8755,PT,2017/12/17,2017-W50,19.0,ERVISS
8754,PT,2017/12/24,2017-W51,9.7,ERVISS
8753,PT,2017/12/31,2017-W52,55.7,ERVISS
8752,PT,2018/1/7,2018-W01,48.7,ERVISS
8751,PT,2018/1/14,2018-W02,33.5,ERVISS
8750,PT,2018/1/21,2018-W03,58.7,ERVISS
8749,PT,2018/1/28,2018-W04,39.5,ERVISS
8748,PT,2018/2/4,2018-W05,35.0,ERVISS
8747,PT,2018/2/11,2018-W06,25.3,ERVISS
8746,PT,2018/2/18,2018-W07,30.4,ERVISS
8745,PT,2018/2/25,2018-W08,23.7,ERVISS
8744,PT,2018/3/4,2018-W09,16.1,ERVISS
8743,PT,2018/3/11,2018-W10,15.8,ERVISS
8742,PT,2018/3/18,2018-W11,26.2,ERVISS
8741,PT,2018/3/25,2018-W12,4.5,ERVISS
8740,PT,2018/4/1,2018-W13,0.0,ERVISS
8739,PT,2018/4/8,2018-W14,14.7,ERVISS
8714,PT,2018/10/7,2018-W40,4.2,ERVISS
8713,PT,2018/10/14,2018-W41,0.0,ERVISS
8712,PT,2018/10/21,2018-W42,6.2,ERVISS
8711,PT,2018/10/28,2018-W43,10.9,ERVISS
8710,PT,2018/11/4,2018-W44,6.1,ERVISS
8709,PT,2018/11/11,2018-W45,14.6,ERVISS
8708,PT,2018/11/18,2018-W46,8.1,ERVISS
8707,PT,2018/11/25,2018-W47,0.0,ERVISS
8706,PT,2018/12/2,2018-W48,7.9,ERVISS
8705,PT,2018/12/9,2018-W49,22.7,ERVISS
8704,PT,2018/12/16,2018-W50,6.6,ERVISS
8703,PT,2018/12/23,2018-W51,16.3,ERVISS
8702,PT,2018/12/30,2018-W52,22.4,ERVISS
8701,PT,2019/1/6,2019-W01,81.6,ERVISS
8700,PT,2019/1/13,2019-W02,40.7,ERVISS
8699,PT,2019/1/20,2019-W03,82.4,ERVISS
8698,PT,2019/1/27,2019-W04,84.8,ERVISS
8697,PT,2019/2/3,2019-W05,60.3,ERVISS
8696,PT,2019/2/10,2019-W06,37.7,ERVISS
8695,PT,2019/2/17,2019-W07,27.0,ERVISS
8694,PT,2019/2/24,2019-W08,46.6,ERVISS
8693,PT,2019/3/3,2019-W09,22.8,ERVISS
8692,PT,2019/3/10,2019-W10,42.6,ERVISS
8691,PT,2019/3/17,2019-W11,3.5,ERVISS
8690,PT,2019/3/24,2019-W12,8.5,ERVISS
8689,PT,2019/3/31,2019-W13,0.0,ERVISS
8688,PT,2019/4/7,2019-W14,0.0,ERVISS
9274,RO,2017/10/8,2017-W40,0.2,ERVISS
9273,RO,2017/10/15,2017-W41,1.9,ERVISS
9272,RO,2017/10/22,2017-W42,0.7,ERVISS
9271,RO,2017/10/29,2017-W43,1.4,ERVISS
9270,RO,2017/11/5,2017-W44,0.7,ERVISS
9269,RO,2017/11/12,2017-W45,0.7,ERVISS
9268,RO,2017/11/19,2017-W46,0.7,ERVISS
9267,RO,2017/11/26,2017-W47,1.4,ERVISS
9266,RO,2017/12/3,2017-W48,0.0,ERVISS
9265,RO,2017/12/10,2017-W49,1.2,ERVISS
9264,RO,2017/12/17,2017-W50,1.2,ERVISS
9263,RO,2017/12/24,2017-W51,2.2,ERVISS
9262,RO,2017/12/31,2017-W52,1.5,ERVISS
9261,RO,2018/1/7,2018-W01,0.7,ERVISS
9260,RO,2018/1/14,2018-W02,3.5,ERVISS
9259,RO,2018/1/21,2018-W03,4.5,ERVISS
9258,RO,2018/1/28,2018-W04,4.2,ERVISS
9257,RO,2018/2/4,2018-W05,8.4,ERVISS
9256,RO,2018/2/11,2018-W06,31.8,ERVISS
9255,RO,2018/2/18,2018-W07,33.1,ERVISS
9254,RO,2018/2/25,2018-W08,20.1,ERVISS
9253,RO,2018/3/4,2018-W09,18.6,ERVISS
9252,RO,2018/3/11,2018-W10,12.9,ERVISS
9251,RO,2018/3/18,2018-W11,11.7,ERVISS
9250,RO,2018/3/25,2018-W12,6.6,ERVISS
9249,RO,2018/4/1,2018-W13,4.2,ERVISS
9248,RO,2018/4/8,2018-W14,1.5,ERVISS
9222,RO,2018/10/7,2018-W40,0.7,ERVISS
9221,RO,2018/10/14,2018-W41,1.2,ERVISS
9220,RO,2018/10/21,2018-W42,0.7,ERVISS
9219,RO,2018/10/28,2018-W43,0.7,ERVISS
9218,RO,2018/11/4,2018-W44,0.5,ERVISS
9217,RO,2018/11/11,2018-W45,1.6,ERVISS
9216,RO,2018/11/18,2018-W46,1.4,ERVISS
9215,RO,2018/11/25,2018-W47,1.9,ERVISS
9214,RO,2018/12/2,2018-W48,2.8,ERVISS
9213,RO,2018/12/9,2018-W49,1.9,ERVISS
9212,RO,2018/12/16,2018-W50,0.9,ERVISS
9211,RO,2018/12/23,2018-W51,1.2,ERVISS
9210,RO,2018/12/30,2018-W52,0.2,ERVISS
9209,RO,2019/1/6,2019-W01,7.0,ERVISS
9208,RO,2019/1/13,2019-W02,4.2,ERVISS
9207,RO,2019/1/20,2019-W03,6.3,ERVISS
9206,RO,2019/1/27,2019-W04,15.2,ERVISS
9205,RO,2019/2/3,2019-W05,20.2,ERVISS
9204,RO,2019/2/10,2019-W06,14.2,ERVISS
9203,RO,2019/2/17,2019-W07,10.2,ERVISS
9202,RO,2019/2/24,2019-W08,5.4,ERVISS
9201,RO,2019/3/3,2019-W09,5.7,ERVISS
9200,RO,2019/3/10,2019-W10,5.4,ERVISS
9199,RO,2019/3/17,2019-W11,4.7,ERVISS
9198,RO,2019/3/24,2019-W12,2.8,ERVISS
9197,RO,2019/3/31,2019-W13,3.3,ERVISS
9196,RO,2019/4/7,2019-W14,3.7,ERVISS
8970,RO,2023/10/8,2023-W40,0.0,ERVISS
8969,RO,2023/10/15,2023-W41,0.0,ERVISS
