target,location,truth_date,year_week,season,value,data_source
ILI incidence,BE,2019/2/24,2019-W08,2018-2019,658.2,ERVISS
ILI incidence,BE,2019/3/3,2019-W09,2018-2019,403.3,ERVISS
ILI incidence,BE,2019/3/10,2019-W10,2018-2019,290.5,ERVISS
ILI incidence,BE,2019/3/17,2019-W11,2018-2019,168.8,ERVISS
ILI incidence,BE,2019/3/24,2019-W12,2018-2019,77.5,ERVISS
ILI incidence,BE,2019/3/31,2019-W13,2018-2019,55.4,ERVISS
ILI incidence,BE,2019/4/7,2019-W14,2018-2019,38.6,ERVISS
ILI incidence,CH,2023/10/22,2023-W42,2023-2024,48.47388946,FluID
ILI incidence,CH,2023/10/29,2023-W43,2023-2024,64.41112702,FluID
ILI incidence,CH,2023/11/5,2023-W44,2023-2024,50.92668376,FluID
ILI incidence,CH,2023/11/12,2023-W45,2023-2024,70.40465363,FluID
ILI incidence,CH,2023/11/19,2023-W46,2023-2024,72.96811855,FluID
ILI incidence,CH,2023/11/26,2023-W47,2023-2024,74.45764375,FluID
ILI incidence,CH,2023/12/3,2023-W48,2023-2024,89.9110354,FluID
ILI incidence,CH,2023/12/10,2023-W49,2023-2024,77.47328973,FluID
ILI incidence,CH,2023/12/17,2023-W50,2023-2024,91.03777513,FluID
ILI incidence,CH,2023/12/24,2023-W51,2023-2024,93.51284603,FluID
ILI incidence,CH,2023/12/31,2023-W52,2023-2024,76.11337433,FluID
ILI incidence,CH,2024/1/7,2024-W01,2023-2024,68.41785629,FluID
ILI incidence,CH,2024/1/14,2024-W02,2023-2024,106.9409208,FluID
ILI incidence,CH,2024/1/21,2024-W03,2023-2024,126.5518347,FluID
ILI incidence,CH,2024/1/28,2024-W04,2023-2024,133.6727459,FluID
ILI incidence,CH,2024/2/4,2024-W05,2023-2024,155.0839552,FluID
ILI incidence,CH,2024/2/11,2024-W06,2023-2024,148.6785451,FluID
ILI incidence,CH,2024/2/18,2024-W07,2023-2024,87.23843936,FluID
ILI incidence,CH,2024/2/25,2024-W08,2023-2024,103.2365244,FluID
ILI incidence,CH,2024/3/3,2024-W09,2023-2024,76.08837608,FluID
ILI incidence,CH,2024/3/10,2024-W10,2023-2024,71.13434465,FluID
ILI incidence,CH,2024/3/17,2024-W11,2023-2024,54.86059124,FluID
ILI incidence,CH,2024/3/24,2024-W12,2023-2024,46.36525388,FluID
ILI incidence,CH,2024/3/31,2024-W13,2023-2024,43.92232959,FluID
ILI incidence,CH,2024/4/7,2024-W14,2023-2024,46.07251345,FluID
ILI incidence,CY,2017/10/22,2017-W42,2017-2018,1100.0,ERVISS
ILI incidence,CY,2017/10/29,2017-W43,2017-2018,600.0,ERVISS
ILI incidence,CY,2017/11/5,2017-W44,2017-2018,500.0,ERVISS
ILI incidence,CY,2017/11/12,2017-W45,2017-2018,0.0,ERVISS
ILI incidence,CY,2017/11/19,2017-W46,2017-2018,0.0,ERVISS
ILI incidence,CY,2017/11/26,2017-W47,2017-2018,0.0,ERVISS
ILI incidence,CY,2017/12/3,2017-W48,2017-2018,0.0,ERVISS
ILI incidence,CY,2017/12/10,2017-W49,2017-2018,200.0,ERVISS
ILI incidence,CY,2017/12/17,2017-W50,2017-2018,0.0,ERVISS
ILI incidence,CY,2017/12/24,2017-W51,2017-2018,0.0,ERVISS
ILI incidence,CY,2017/12/31,2017-W52,2017-2018,0.0,ERVISS
ILI incidence,CY,2018/1/7,2018-W01,2017-2018,3700.0,ERVISS
ILI incidence,CY,2018/1/14,2018-W02,2017-2018,1900.0,ERVISS
ILI incidence,CY,2018/1/21,2018-W03,2017-2018,3600.0,ERVISS
ILI incidence,CY,2018/1/28,2018-W04,2017-2018,2100.0,ERVISS
ILI incidence,CY,2018/2/4,2018-W05,2017-2018,7700.0,ERVISS
ILI incidence,CY,2018/2/11,2018-W06,2017-2018,9400.0,ERVISS
ILI incidence,CY,2018/2/18,2018-W07,2017-2018,5100.0,ERVISS
ILI incidence,CY,2018/2/25,2018-W08,2017-2018,3800.0,ERVISS
ILI incidence,CY,2018/3/4,2018-W09,2017-2018,4200.0,ERVISS
ILI incidence,CY,2018/3/11,2018-W10,2017-2018,2300.0,ERVISS
ILI incidence,CY,2018/3/18,2018-W11,2017-2018,2000.0,ERVISS
ILI incidence,CY,2018/3/25,2018-W12,2017-2018,2800.0,ERVISS
ILI incidence,CY,2018/4/1,2018-W13,2017-2018,2600.0,ERVISS
ILI incidence,CY,2018/4/8,2018-W14,2017-2018,1400.0,ERVISS
ILI incidence,CY,2018/10/21,2018-W42,2018-2019,400.0,ERVISS
ILI incidence,CY,2018/10/28,2018-W43,2018-2019,1200.0,ERVISS
ILI incidence,CY,2018/11/4,2018-W44,2018-2019,1400.0,ERVISS
ILI incidence,CY,2018/11/11,2018-W45,2018-2019,1100.0,ERVISS
ILI incidence,CY,2018/11/18,2018-W46,2018-2019,1500.0,ERVISS
ILI incidence,CY,2018/11/25,2018-W47,2018-2019,4900.0,ERVISS
ILI incidence,CY,2018/12/2,2018-W48,2018-2019,1600.0,ERVISS
ILI incidence,CY,2018/12/9,2018-W49,2018-2019,1700.0,ERVISS
ILI incidence,CY,2018/12/16,2018-W50,2018-2019,1000.0,ERVISS
ILI incidence,CY,2018/12/23,2018-W51,2018-2019,6400.0,ERVISS
ILI incidence,CY,2018/12/30,2018-W52,2018-2019,0.0,ERVISS
ILI incidence,CY,2019/1/6,2019-W01,2018-2019,5600.0,ERVISS
ILI incidence,CY,2019/1/13,2019-W02,2018-2019,3200.0,ERVISS
ILI incidence,CY,2019/1/20,2019-W03,2018-2019,8100.0,ERVISS
ILI incidence,CY,2019/1/27,2019-W04,2018-2019,8500.0,ERVISS
ILI incidence,CY,2019/2/3,2019-W05,2018-2019,8500.0,ERVISS
ILI incidence,CY,2019/2/10,2019-W06,2018-2019,7900.0,ERVISS
ILI incidence,CY,2019/2/17,2019-W07,2018-2019,4800.0,ERVISS
ILI incidence,CY,2019/2/24,2019-W08,2018-2019,3100.0,ERVISS
ILI incidence,CY,2019/3/3,2019-W09,2018-2019,2900.0,ERVISS
ILI incidence,CY,2019/3/10,2019-W10,2018-2019,3000.0,ERVISS
ILI incidence,CY,2019/3/17,2019-W11,2018-2019,200.0,ERVISS
ILI incidence,CY,2019/3/24,2019-W12,2018-2019,3200.0,ERVISS
ILI incidence,CY,2019/3/31,2019-W13,2018-2019,2600.0,ERVISS
ILI incidence,CY,2019/4/7,2019-W14,2018-2019,500.0,ERVISS
ILI incidence,CZ,2017/10/22,2017-W42,2017-2018,15.0,ERVISS
ILI incidence,CZ,2017/10/29,2017-W43,2017-2018,13.8,ERVISS
ILI incidence,CZ,2017/11/5,2017-W44,2017-2018,15.5,ERVISS
ILI incidence,CZ,2017/11/12,2017-W45,2017-2018,16.1,ERVISS
ILI incidence,CZ,2017/11/19,2017-W46,2017-2018,14.3,ERVISS
ILI incidence,CZ,2017/11/26,2017-W47,2017-2018,19.2,ERVISS
ILI incidence,CZ,2017/12/3,2017-W48,2017-2018,22.2,ERVISS
ILI incidence,CZ,2017/12/10,2017-W49,2017-2018,24.2,ERVISS
ILI incidence,CZ,2017/12/17,2017-W50,2017-2018,27.6,ERVISS
ILI incidence,CZ,2017/12/24,2017-W51,2017-2018,21.4,ERVISS
ILI incidence,CZ,2017/12/31,2017-W52,2017-2018,12.8,ERVISS
ILI incidence,CZ,2018/1/7,2018-W01,2017-2018,21.5,ERVISS
ILI incidence,CZ,2018/1/14,2018-W02,2017-2018,28.9,ERVISS
ILI incidence,CZ,2018/1/21,2018-W03,2017-2018,46.5,ERVISS
ILI incidence,CZ,2018/1/28,2018-W04,2017-2018,102.1,ERVISS
ILI incidence,CZ,2018/2/4,2018-W05,2017-2018,159.9,ERVISS
ILI incidence,CZ,2018/2/11,2018-W06,2017-2018,234.9,ERVISS
ILI incidence,CZ,2018/2/18,2018-W07,2017-2018,272.6,ERVISS
ILI incidence,CZ,2018/2/25,2018-W08,2017-2018,292.3,ERVISS
ILI incidence,CZ,2018/3/4,2018-W09,2017-2018,278.3,ERVISS
ILI incidence,CZ,2018/3/11,2018-W10,2017-2018,248.7,ERVISS
ILI incidence,CZ,2018/3/18,2018-W11,2017-2018,199.6,ERVISS
ILI incidence,CZ,2018/3/25,2018-W12,2017-2018,116.5,ERVISS
ILI incidence,CZ,2018/4/1,2018-W13,2017-2018,60.0,ERVISS
ILI incidence,CZ,2018/4/8,2018-W14,2017-2018,39.4,ERVISS
ILI incidence,CZ,2018/10/21,2018-W42,2018-2019,13.0,ERVISS
ILI incidence,CZ,2018/10/28,2018-W43,2018-2019,13.8,ERVISS
ILI incidence,CZ,2018/11/4,2018-W44,2018-2019,14.1,ERVISS
ILI incidence,CZ,2018/11/11,2018-W45,2018-2019,16.2,ERVISS
ILI incidence,CZ,2018/11/18,2018-W46,2018-2019,15.9,ERVISS
ILI incidence,CZ,2018/11/25,2018-W47,2018-2019,18.1,ERVISS
ILI incidence,CZ,2018/12/2,2018-W48,2018-2019,20.6,ERVISS
ILI incidence,CZ,2018/12/9,2018-W49,2018-2019,19.7,ERVISS
ILI incidence,CZ,2018/12/16,2018-W50,2018-2019,23.0,ERVISS
ILI incidence,CZ,2018/12/23,2018-W51,2018-2019,22.9,ERVISS
ILI incidence,CZ,2018/12/30,2018-W52,2018-2019,9.0,ERVISS
ILI incidence,CZ,2019/1/6,2019-W01,2018-2019,16.7,ERVISS
ILI incidence,CZ,2019/1/13,2019-W02,2018-2019,27.3,ERVISS
ILI incidence,CZ,2019/1/20,2019-W03,2018-2019,34.2,ERVISS
ILI incidence,CZ,2019/1/27,2019-W04,2018-2019,72.2,ERVISS
ILI incidence,CZ,2019/2/3,2019-W05,2018-2019,140.9,ERVISS
ILI incidence,CZ,2019/2/10,2019-W06,2018-2019,173.8,ERVISS
ILI incidence,CZ,2019/2/17,2019-W07,2018-2019,177.9,ERVISS
ILI incidence,CZ,2019/2/24,2019-W08,2018-2019,143.3,ERVISS
ILI incidence,CZ,2019/3/3,2019-W09,2018-2019,88.2,ERVISS
ILI incidence,CZ,2019/3/10,2019-W10,2018-2019,57.1,ERVISS
ILI incidence,CZ,2019/3/17,2019-W11,2018-2019,34.8,ERVISS
ILI incidence,CZ,2019/3/24,2019-W12,2018-2019,24.8,ERVISS
ILI incidence,CZ,2019/3/31,2019-W13,2018-2019,17.7,ERVISS
ILI incidence,CZ,2019/4/7,2019-W14,2018-2019,13.5,ERVISS
ILI incidence,DK,2017/10/22,2017-W42,2017-2018,15.8,ERVISS
ILI incidence,DK,2017/10/29,2017-W43,2017-2018,10.0,ERVISS
ILI incidence,DK,2017/11/5,2017-W44,2017-2018,17.1,ERVISS
ILI incidence,DK,2017/11/12,2017-W45,2017-2018,28.7,ERVISS
ILI incidence,DK,2017/11/19,2017-W46,2017-2018,26.2,ERVISS
ILI incidence,DK,2017/11/26,2017-W47,2017-2018,27.4,ERVISS
ILI incidence,DK,2017/12/3,2017-W48,2017-2018,17.2,ERVISS
ILI incidence,DK,2017/12/10,2017-W49,2017-2018,30.1,ERVISS
ILI incidence,DK,2017/12/17,2017-W50,2017-2018,53.8,ERVISS
ILI incidence,DK,2017/12/24,2017-W51,2017-2018,33.5,ERVISS
ILI incidence,DK,2017/12/31,2017-W52,2017-2018,70.1,ERVISS
ILI incidence,DK,2018/1/7,2018-W01,2017-2018,57.1,ERVISS
ILI incidence,DK,2018/1/14,2018-W02,2017-2018,47.1,ERVISS
ILI incidence,DK,2018/1/21,2018-W03,2017-2018,54.6,ERVISS
ILI incidence,DK,2018/1/28,2018-W04,2017-2018,80.0,ERVISS
ILI incidence,DK,2018/2/4,2018-W05,2017-2018,156.1,ERVISS
ILI incidence,DK,2018/2/11,2018-W06,2017-2018,189.3,ERVISS
ILI incidence,DK,2018/2/18,2018-W07,2017-2018,306.7,ERVISS
ILI incidence,DK,2018/2/25,2018-W08,2017-2018,245.7,ERVISS
ILI incidence,DK,2018/3/4,2018-W09,2017-2018,172.3,ERVISS
ILI incidence,DK,2018/3/11,2018-W10,2017-2018,220.4,ERVISS
ILI incidence,DK,2018/3/18,2018-W11,2017-2018,208.0,ERVISS
ILI incidence,DK,2018/3/25,2018-W12,2017-2018,140.3,ERVISS
ILI incidence,DK,2018/4/1,2018-W13,2017-2018,147.3,ERVISS
ILI incidence,DK,2018/4/8,2018-W14,2017-2018,39.1,ERVISS
ILI incidence,DK,2018/10/21,2018-W42,2018-2019,18.9,ERVISS
ILI incidence,DK,2018/10/28,2018-W43,2018-2019,19.4,ERVISS
ILI incidence,DK,2018/11/4,2018-W44,2018-2019,14.5,ERVISS
ILI incidence,DK,2018/11/11,2018-W45,2018-2019,17.9,ERVISS
ILI incidence,DK,2018/11/18,2018-W46,2018-2019,16.1,ERVISS
ILI incidence,DK,2018/11/25,2018-W47,2018-2019,21.5,ERVISS
ILI incidence,DK,2018/12/2,2018-W48,2018-2019,24.9,ERVISS
ILI incidence,DK,2018/12/9,2018-W49,2018-2019,36.7,ERVISS
ILI incidence,DK,2018/12/16,2018-W50,2018-2019,26.0,ERVISS
ILI incidence,DK,2018/12/23,2018-W51,2018-2019,11.9,ERVISS
ILI incidence,DK,2018/12/30,2018-W52,2018-2019,9.9,ERVISS
ILI incidence,DK,2019/1/6,2019-W01,2018-2019,32.6,ERVISS
ILI incidence,DK,2019/1/13,2019-W02,2018-2019,39.8,ERVISS
ILI incidence,DK,2019/1/20,2019-W03,2018-2019,58.1,ERVISS
ILI incidence,DK,2019/1/27,2019-W04,2018-2019,72.0,ERVISS
ILI incidence,DK,2019/2/3,2019-W05,2018-2019,122.7,ERVISS
ILI incidence,DK,2019/2/10,2019-W06,2018-2019,130.7,ERVISS
ILI incidence,DK,2019/2/17,2019-W07,2018-2019,138.5,ERVISS
ILI incidence,DK,2019/2/24,2019-W08,2018-2019,96.1,ERVISS
ILI incidence,DK,2019/3/3,2019-W09,2018-2019,66.9,ERVISS
ILI incidence,DK,2019/3/10,2019-W10,2018-2019,55.2,ERVISS
ILI incidence,DK,2019/3/17,2019-W11,2018-2019,27.0,ERVISS
ILI incidence,DK,2019/3/24,2019-W12,2018-2019,39.4,ERVISS
ILI incidence,DK,2019/3/31,2019-W13,2018-2019,22.6,ERVISS
ILI incidence,DK,2019/4/7,2019-W14,2018-2019,14.1,ERVISS
ILI incidence,EE,2017/10/22,2017-W42,2017-2018,48.5,ERVISS
ILI incidence,EE,2017/10/29,2017-W43,2017-2018,51.6,ERVISS
ILI incidence,EE,2017/11/5,2017-W44,2017-2018,65.7,ERVISS
ILI incidence,EE,2017/11/12,2017-W45,2017-2018,51.6,ERVISS
ILI incidence,EE,2017/11/19,2017-W46,2017-2018,66.3,ERVISS
ILI incidence,EE,2017/11/26,2017-W47,2017-2018,57.4,ERVISS
ILI incidence,EE,2017/12/3,2017-W48,2017-2018,86.1,ERVISS
ILI incidence,EE,2017/12/10,2017-W49,2017-2018,48.5,ERVISS
ILI incidence,EE,2017/12/17,2017-W50,2017-2018,61.2,ERVISS
ILI incidence,EE,2017/12/24,2017-W51,2017-2018,52.9,ERVISS
ILI incidence,EE,2017/12/31,2017-W52,2017-2018,75.9,ERVISS
ILI incidence,EE,2018/1/7,2018-W01,2017-2018,55.5,ERVISS
ILI incidence,EE,2018/1/14,2018-W02,2017-2018,64.4,ERVISS
ILI incidence,EE,2018/1/21,2018-W03,2017-2018,68.2,ERVISS
ILI incidence,EE,2018/1/28,2018-W04,2017-2018,89.3,ERVISS
ILI incidence,EE,2018/2/4,2018-W05,2017-2018,147.3,ERVISS
ILI incidence,EE,2018/2/11,2018-W06,2017-2018,168.9,ERVISS
ILI incidence,EE,2018/2/18,2018-W07,2017-2018,177.9,ERVISS
ILI incidence,EE,2018/2/25,2018-W08,2017-2018,160.7,ERVISS
ILI incidence,EE,2018/3/4,2018-W09,2017-2018,167.0,ERVISS
ILI incidence,EE,2018/3/11,2018-W10,2017-2018,179.1,ERVISS
ILI incidence,EE,2018/3/18,2018-W11,2017-2018,166.4,ERVISS
ILI incidence,EE,2018/3/25,2018-W12,2017-2018,123.0,ERVISS
ILI incidence,EE,2018/4/1,2018-W13,2017-2018,144.1,ERVISS
ILI incidence,EE,2018/4/8,2018-W14,2017-2018,109.7,ERVISS
ILI incidence,EE,2018/10/21,2018-W42,2018-2019,57.5,ERVISS
ILI incidence,EE,2018/10/28,2018-W43,2018-2019,56.8,ERVISS
ILI incidence,EE,2018/11/4,2018-W44,2018-2019,77.2,ERVISS
ILI incidence,EE,2018/11/11,2018-W45,2018-2019,74.2,ERVISS
ILI incidence,EE,2018/11/18,2018-W46,2018-2019,62.1,ERVISS
ILI incidence,EE,2018/11/25,2018-W47,2018-2019,62.8,ERVISS
ILI incidence,EE,2018/12/2,2018-W48,2018-2019,79.5,ERVISS
ILI incidence,EE,2018/12/9,2018-W49,2018-2019,68.9,ERVISS
ILI incidence,EE,2018/12/16,2018-W50,2018-2019,81.0,ERVISS
ILI incidence,EE,2018/12/23,2018-W51,2018-2019,88.6,ERVISS
ILI incidence,EE,2018/12/30,2018-W52,2018-2019,79.5,ERVISS
ILI incidence,EE,2019/1/6,2019-W01,2018-2019,119.6,ERVISS
ILI incidence,EE,2019/1/13,2019-W02,2018-2019,123.4,ERVISS
ILI incidence,EE,2019/1/20,2019-W03,2018-2019,134.0,ERVISS
ILI incidence,EE,2019/1/27,2019-W04,2018-2019,152.9,ERVISS
ILI incidence,EE,2019/2/3,2019-W05,2018-2019,197.6,ERVISS
ILI incidence,EE,2019/2/10,2019-W06,2018-2019,202.9,ERVISS
ILI incidence,EE,2019/2/17,2019-W07,2018-2019,168.1,ERVISS
ILI incidence,EE,2019/2/24,2019-W08,2018-2019,168.1,ERVISS
ILI incidence,EE,2019/3/3,2019-W09,2018-2019,145.4,ERVISS
ILI incidence,EE,2019/3/10,2019-W10,2018-2019,121.1,ERVISS
ILI incidence,EE,2019/3/17,2019-W11,2018-2019,122.6,ERVISS
ILI incidence,EE,2019/3/24,2019-W12,2018-2019,90.8,ERVISS
ILI incidence,EE,2019/3/31,2019-W13,2018-2019,103.0,ERVISS
ILI incidence,EE,2019/4/7,2019-W14,2018-2019,90.1,ERVISS
ILI incidence,ES,2017/10/22,2017-W42,2017-2018,6.9,ERVISS
ILI incidence,ES,2017/10/29,2017-W43,2017-2018,8.4,ERVISS
ILI incidence,ES,2017/11/5,2017-W44,2017-2018,8.7,ERVISS
ILI incidence,ES,2017/11/12,2017-W45,2017-2018,16.8,ERVISS
ILI incidence,ES,2017/11/19,2017-W46,2017-2018,18.3,ERVISS
ILI incidence,ES,2017/11/26,2017-W47,2017-2018,23.8,ERVISS
ILI incidence,ES,2017/12/3,2017-W48,2017-2018,32.8,ERVISS
ILI incidence,ES,2017/12/10,2017-W49,2017-2018,32.7,ERVISS
ILI incidence,ES,2017/12/17,2017-W50,2017-2018,74.7,ERVISS
ILI incidence,ES,2017/12/24,2017-W51,2017-2018,119.6,ERVISS
ILI incidence,ES,2017/12/31,2017-W52,2017-2018,207.4,ERVISS
ILI incidence,ES,2018/1/7,2018-W01,2017-2018,221.4,ERVISS
ILI incidence,ES,2018/1/14,2018-W02,2017-2018,246.1,ERVISS
ILI incidence,ES,2018/1/21,2018-W03,2017-2018,277.4,ERVISS
ILI incidence,ES,2018/1/28,2018-W04,2017-2018,245.4,ERVISS
ILI incidence,ES,2018/2/4,2018-W05,2017-2018,190.3,ERVISS
ILI incidence,ES,2018/2/11,2018-W06,2017-2018,149.5,ERVISS
ILI incidence,ES,2018/2/18,2018-W07,2017-2018,134.5,ERVISS
ILI incidence,ES,2018/2/25,2018-W08,2017-2018,106.0,ERVISS
ILI incidence,ES,2018/3/4,2018-W09,2017-2018,80.6,ERVISS
ILI incidence,ES,2018/3/11,2018-W10,2017-2018,59.2,ERVISS
ILI incidence,ES,2018/3/18,2018-W11,2017-2018,43.7,ERVISS
ILI incidence,ES,2018/3/25,2018-W12,2017-2018,29.8,ERVISS
ILI incidence,ES,2018/4/1,2018-W13,2017-2018,13.0,ERVISS
ILI incidence,ES,2018/4/8,2018-W14,2017-2018,13.3,ERVISS
ILI incidence,ES,2018/10/21,2018-W42,2018-2019,8.2,ERVISS
ILI incidence,ES,2018/10/28,2018-W43,2018-2019,11.1,ERVISS
ILI incidence,ES,2018/11/4,2018-W44,2018-2019,9.7,ERVISS
ILI incidence,ES,2018/11/11,2018-W45,2018-2019,15.7,ERVISS
ILI incidence,ES,2018/11/18,2018-W46,2018-2019,14.9,ERVISS
ILI incidence,ES,2018/11/25,2018-W47,2018-2019,16.1,ERVISS
ILI incidence,ES,2018/12/2,2018-W48,2018-2019,15.8,ERVISS
